Quiz,Correct,Wrong,Made,,,,
PCの正式名称は？,パーソナルコンピュータ,プライマリーコンピュータ,5,1,パーソナルコンピュータ,プライマリーコンピュータ,11.7
充電できるのは?,リチウムイオン電池,アルカリ電池,3,1,リチウムイオンデンチ,アルカリデンチ,10.4
より古い人類はどっち?,アウストラロピテクス,ネアンデルタール人,3,1,アウストラロピテクス,ネアンデルタールジン,12
ニュートンが発見したのは？,万有引力,万有重力,3,1,バンユウインリョク,バンユウジュウリョク,10.5
夏目漱石が書いた作品は？,吾輩は猫である,舞姫,3,1,ワガハイハネコデアル,マイヒメ,9.3
面積が大きいのは？,排他的経済水域,領海,3,1,ハイタテキケイザイスイイキ,リョウカイ,11.1
デンプンにある溶液を浸すと紫色になる反応は？,ヨウ素デンプン反応,リトマスデンプン反応,3,1,ヨウソデンプンハンノウ,リトマスデンプンハンノウ,14.3
「クリミアの天使」と呼ばれたイギリスの看護師は？,ナイチンゲール,マザーテレサ,3,1,ナイチンゲール,マザーテレサ,9.7
青森県で発見されたのは？,三内丸山遺跡,吉野ケ里遺跡,3,1,サンナイマルヤマイセキ,ヨシノガリイセキ,11.4
大仙古墳はどっち？,前方後円墳,前円後方墳,3,1,ゼンポウコウエンフン,ゼンエンコウホウフン,10.9
メンバー全員が歯科医で知られる音楽グループの名前は？,GReeeeN,back number,2,1,GReeeeN,back number,12
海岸線から200海里までを何という？,排他的経済水域,領海,1,1,ハイタテキケイザイスイイキ,リョウカイ,12
お札になった人は？,夏目漱石,芥川龍之介,4,1,ナツメソウセキ,アクタガワリュウノスケ,9.3
上谷隆宏が作った絵や漫画などを公開することができるSNSは？,pixiv,Instagram,2,1,pixiv,Instagram,10.1
世界一大きい卵は？,ダチョウの卵,カモノハシの卵,4,1,ダチョウノタマゴ,カモノハシノタマゴ,9.7
アメリカで初の黒人大統領は？,バラク・オバマ,シリル・ラマポーサ,3,1,バラク・オバマ,シリル・ラマポーサ,9.9
面積が大きいのは？,アメリカ合衆国,中華人民共和国,5,1,アメリカガッシュウコク,チュウカジンミンキョウワコク,13.1
「どっどど　どどうど　どどうど　どどう」　で有名なのは？,風の又三郎,やまなし,5,1,カゼノマタサブロウ,ヤマナシ,10.3
支点、力点、作用点といえば？,てこの原理,フレミングの法則,5,1,テコノゲンリ,フレミングノホウソク,13.7
日本の四大公害病なのは？,四日市ぜんそく,骨粗しょう症,5,1,ヨッカイチゼンソク,コツソショウショウ,16
県の数が多いのは？,九州地方,東北地方,4,1,キュウシュウチホウ,トウホクチホウ,20.45
200ｍ走世界記録保持者は？,ウサイン・ボルト,ノア・ヌゲニ,5,2,ウサイン・ボルト,ノア・ヌゲニ,8.3
リレーの時バトンを渡す場所は？,テークオーバーゾーン,レシーバーゾーン　,5,2,テークオーバーゾーン,レシーバーゾーン　,10.65
オリンピックの五輪旗の5つの輪の色は？,赤青黄緑黒,赤青黄橙白,5,2,アカアオキミドリクロ,アカアオコウダイダイシロ,10.9
大きいのは?,南アフリカ大陸,南極大陸,3,2,ミナミアフリカタイリク,ナンキョクタイリク,11
動物の国際取引を規制するのは?,ワシントン条約,ラムサール条約,3,2,ワシントンジョウヤク,ラムサールジョウヤク,11.9
大きいのは?,クフ王のピラミッド,カフラー王のピラミッド,3,2,クフオウノピラミッド,カフラーオウノピラミッド,12.2
国際長編映画賞(アカデミー賞)を受賞したのは？,ドライブ・マイ・カー,万引き家族,4,2,ドライブ・マイ・カー,マンビキカゾク,11.9
労働三権を保証した法律は？,労働組合法,労働基準法,3,2,ロウドウクミアイホウ,ロウドウキジュンホウ,11.3
GDPが表すのは？,国内総生産,国民総生産,3,2,コクナイソウセイサン,コクミンソウセイサン,10.9
出張所があるのは？,家庭裁判所,地方裁判所,3,2,カテイサイバンショ,チホウサイバンショ,10
使い道が指定されているのは？,国庫支出金,地方交付税交付金,3,2,コッコシシュツキン,チホウコウフゼイコウフキン,12
双子葉類の葉の葉脈は？,網状脈,平行脈,3,2,モウジョウミャク,ヘイコウミャク,8.6
４月末にやってくる前線は？,たけのこ前線,きのこ前線,3,2,タケノコゼンセン,キノコゼンセン,9.3
主にインドの西ベンガル州で生産されている紅茶といえば？,ダージリンティー,アールグレイ,3,2,ダージリンティー,アールグレイ,10.7
人工知能が人間の能力を超えた後に起こる事を何というか？,シンギュラリティ,オーバーフロー,3,2,シンギュラリティ,オーバーフロー,11.1
エクアドル沖の海面温度が上がる現象は？,エルニーニョ現象,ラニーニョ現象,3,2,エルニーニョゲンショウ,ラニーニョゲンショウ,13
スタジオジブリの最初の作品は？,天空の城ラピュタ,風の谷のナウシカ,3,2,テンクウノシロラピュタ,カゼノタニノナウシカ,12.7
冬季オリンピックの第一回開催地は？,シャモニーモンブラン,アテネ,5,2,シャモニーモンブラン,アテネ,9.9
道元が開いたのは？,曹洞宗,浄土真宗,3,2,ソウトウシュウ,ジョウドシンシュウ,8.5
後鳥羽上皇の命で藤原定家が撰者となったのは？,新古今和歌集,古今和歌集,3,2,シンコキンワカシュウ,コキンワカシュウ,11.7
東大寺正倉院の建築様式は？,校倉造,寝殿造,3,2,アゼクラヅクリ,シンデンヅクリ,8.2
卑弥呼について書かれた中国の歴史書は？,魏志倭人伝,古事記,3,2,ギシワジンデン,コジキ,7.8
姓が藤原なのは？,中臣鎌足,中大兄皇子,3,2,ナカトミノカマタリ,ナカノオオエノオウジ,10.1
中大兄皇子はのちにどちらになった？,天智天皇,天武天皇,3,2,テンチテンノウ,テンムテンノウ,8.8
壬申の乱で勝利したのは？,天武天皇,天智天皇,3,2,テンムテンノウ,テンチテンノウ,8.3
平等院鳳凰堂を作ったのは？,藤原頼通,藤原道長,3,2,フジワラノヨリミチ,フジワラノミチナガ,10.2
平安京遷都をしたのは？,桓武天皇,白河上皇,3,2,カンムテンノウ,シラカワジョウコウ,8.8
２回目の元の襲来を何という？,弘安の役,文永の役,3,2,コウアンノエキ,ブンエイノヤク,8.5
1467年の将軍家の後継者問題から発展した争いは？,応仁の乱,承久の乱,3,2,オウニンノラン,ジョウキュウノラン,10.2
織田信長が追放した15代鎌倉幕府将軍は？,足利義昭,足利義満,3,2,アシカガヨシアキ,アシカガヨシミツ,10
生類憐みの令を出した江戸幕府5代将軍は？,徳川綱吉,徳川家綱,3,2,トクガワツナヨシ,トクガワイエツナ,10
老中として寛政の改革を行ったのは？,松平定信,田沼意次,3,2,マツダイラサダノブ,タヌマオキツグ,10
1881年自由党を結成したのは？,板垣退助,大隈重信,3,2,イタガキタイスケ,オオクマシゲノブ,9.6
ニュージーランドの首都は？,ウェリントン,オークランド,1,2,ウェリントン,オークランド,7.9
Qで始まる唯一の国は？,カタール,クウェート,1,2,カタール,クウェート,5.9
種が多いフルーツは？,ドラゴンフルーツ,いちご,4,2,ドラゴンフルーツ,イチゴ,7.8
メキシコ料理のトウモロコシや小麦から作られる薄いパンは？,トルティーヤ,パニーニ,1,2,トルティーヤ,パニーニ,8.6
省エネ法が制定されるきっかけの出来事は？,オイルショック,阪神大震災,1,2,オイルショック,ハンシンダイシンサイ,10.4
和柄が入った和紙を何という？,千代紙,小倉紙,1,2,チヨガミ,オグラカミ,5.9
モーツァルト作曲でABCの歌としても利用されている曲は？,きらきら星,白鳥の湖,2,2,キラキラボシ,ハクチョウノミズウミ,10.3
日本将棋連盟のプロ棋士養成機関を何という？,奨励会,棋聖会,2,2,ショウレイカイ,キセイカイ,8.4
ASEAN加盟国は？,カンボジア,東ティモール,4,2,カンボジア,ヒガシティモール,7.5
昭和は、西暦何年まで使われていたでしょう？,1989年,1991年,2,2,1989ネン,1991ネン,8.5
アメリカの首都ワシントンD.C.の「C」とは、何の略称か？,コロンビア,コロラド,2,2,コロンビア,コロラド,8
ちびまる子ちゃんのまる子の姉は？,さくらさきこ,さくらすみれ,4,2,サクラ　サキコ,サクラ　スミレ,9.1
世界一速く泳ぐ魚は？,バショウカジキ,メカジキ,4,2,バショウカジキ,メカジキ,7.5
下関条約の代表は？,伊藤博文,黒田清隆,3,2,イトウヒロフミ,クロダキヨタカ,8
下関条約で日本が得た半島は？,遼東半島,朝鮮半島,3,2,リャオトンハントウ,チョウセンハントウ,10.3
「浮雲」の作者は？,二葉亭四迷,島村藤村,3,2,フタバテイシメイ,シマムラトウソン,9
破傷風菌の培養に成功したのは？,北里柴三郎,野口英世,3,2,キタサトシバサブロウ,ノグチヒデヨ,10.2
「みだれ髪」の作者は？,与謝野晶子,樋口一葉,3,2,ヨサノアキコ,ヒグチイチヨウ,7.7
第一次世界大戦のきっかけとなった事件が起きた場所は？,サラエボ,セルビア,3,2,サラエボ,セルビア,7
五・四運動はどこで起きた？,中国,朝鮮半島,3,2,チュウゴク,チョウセンハントウ,7.6
初めて本格的な政党内閣をつくったのは？,原敬,大隈重信,3,2,ハラタカシ,オオクマシゲノブ,7.9
「蟹工船」の作者は？,小林多喜二,川端康成,3,2,コバヤシタキジ,カワバタヤスナリ,8.5
大正デモクラシーの理論的指導者といえば？,吉野作造,原敬,3,2,ヨシノサクゾウ,ハラタカシ,8.3
国際連盟の設立の中心人物は？,ウィルソン,ルーズベルト,3,2,ウィルソン,ルーズベルト,7.3
ファシスト党の党首は？,ムッソリーニ,ヒトラー,3,2,ムッソリーニ,ヒトラー,6.9
五・一五事件で殺害されたのは？,犬養毅,原敬,3,2,イヌカイツヨシ,ハラタカシ,7.7
太平洋戦争勃発時の日本軍首相は？,東条英機,近衛文麿,3,2,トウジョウヒデキ,コノエフミマロ,9.3
第二次世界大戦中のソ連の指導者は？,スターリン,ゴルバチョフ,3,2,スターリン,ゴルバチョフ,7.6
朝鮮民主主義人民共和国を建国したのは？,金日成,金正日,3,2,キムイルソン,キムジョンイル,8.2
『地球は青かった』という名言を残したのは？,ガガーリン,アームストロング,3,2,ガガーリン,アームストロング,8.8
ノーベル平和賞を受賞したのは？,佐藤栄作,吉田茂,3,2,サトウエイサク,ヨシダシゲル,8.2
旧ソ連内で放射線が大量放射された原発があるのは？,チェルノブイリ,モスクワ,3,2,チェルノブイリ,モスクワ,8.9
冷戦状態が回復されることを？,デタント,ネグレクト,3,2,デタント,ネグレクト,6.2
南アフリカ共和国で行われた人種差別政策は？,アパルトヘイト,ディスティングイッシュ,3,2,アパルトヘイト,ディスティングイッシュ,11.4
消費税を導入した首相は？,竹下登,森喜朗,3,2,タケシタノボル,モリヨシロウ,7.8
総理大臣の就任回数が多いのは？,吉田茂,安倍晋三,3,2,ヨシダシゲル,アベシンゾウ,7.6
歴代首相の連続在任期間トップ10は？,安倍晋三,佐藤栄作,3,2,アベシンゾウ,サトウエイサク,8.3
一円玉5枚と五円玉1枚重いのは？,一円玉,五円玉,5,2,1エンダマ,5エンダマ,6.7
面積が大きいのは？,沖縄県,東京都,5,2,オキナワケン,トウキョウト,6.9
高いのは？,太陽の塔,ピサの斜塔,5,2,タイヨウノトウ,ピサノシャトウ,7.7
平均気温が低いのは？,南極,北極,5,2,ナンキョク,ホッキョク,5.9
88星座のうち実際に存在するのは？,かみのけ座,てのひら座,5,2,カミノケザ,テノヒラザ,7.2
競泳の個人メドレーの最初の泳法は？,バタフライ,クロール,2,2,バタフライ,クロール,9.6
ジャム(jam)の語源は？,ぐちゃぐちゃ噛む,ぐつぐつ煮込む,1,2,グチャグチャカム,グツグツニコム,14.3
島の数が多いのは？,スウェーデン,フィンランド,4,2,スウェーデン,フィンランド,11.1
日本では見られない星座は？,カメレオン座,イルカ座,4,2,カメレオンザ,イルカザ,10.3
ミルクの量が多いのは？,カフェラテ,カプチーノ,1,2,カフェラテ,カプチーノ,9.6
「ローファー」を日本語訳すると？,怠け者,勤勉な人,4,2,ナマケモノ,キンベンナヒト,10.8
ホワイトハウスにあるものは？,映画館,水族館,4,2,エイガカン,スイゾクカン,10
「@」は英語圏でなんと呼ばれている？,カタツムリ,ダンゴムシ,4,2,カタツムリ,ダンゴムシ,10.3
2日酔いを起こさせる物質は？,アセトアルデヒド,ホルムアルデヒド,4,2,アセトアルデヒド,ホルムアルデヒド,15
ユダヤ人が信じた唯一神といえば？,ヤハウェ,ラー,3,2,ヤハウェ,ラー,7.2
三平方の定理といえば？,ピタゴラス,ソクラテス,3,2,ピタゴラス,ソクラテス,9.6
無知の知のいえば？,ソクラテス,プラトン,3,2,ソクラテス,プラトン,8.8
イギリスの憲法の始まりとされているのは？,マグナカルタ,デモクラシー,3,2,マグナカルタ,デモクラシー,12.2
「ヴェニスの商人」「ハムレット」などの著者は？,シェークスピア,セルバンデス,3,2,シェークスピア,セルバンデス,13.6
アメリカ大陸を発見したのは？,コロンブス,マゼラン,3,2,コロンブス,マゼラン,9.3
観阿弥と世阿弥が完成させたのは？,能,浄瑠璃,3,2,ノウ,ジョウルリ,6.5
