Quiz,Correct,Wrong,Made,,,,,
パイとクリームが何重にも重ねてできるデザートは？,ミルフィーユ,ロールケーキ,5,1,ミルフィーユ,ロールケーキ,8.1,
炭酸飲料に含まれるのは?,二酸化炭素,一酸化炭素,3,1,ニサンカタンソ,イッサンカタンソ,8.8,
オーストラリアの首都は?,キャンベラ,シドニー,3,1,キャンベラ,シドニー,6.3,
リトマス紙が青くなるのは?,アルカリ性,酸性,3,1,アルカリセイ,サンセイ,6.8,
大きいのは?,太平洋,大西洋,3,1,タイヘイヨウ,タイセイヨウ,6.6,
光合成をするのに必要なのは?,二酸化炭素,酸素,3,1,ニサンカタンソ,サンソ,7.2,
惑星はどっち?,海王星,冥王星,3,1,カイオウセイ,メイオウセイ,6.7,
「地球は青かった」は誰？,ガガーリン,ガリレオ,5,1,ガガーリン,ガリレオ,6.3,
非核三原則、持たず、作らず、〇〇？,持ち込ませず,持ち込まず,5,1,モチコマセズ,モチコマズ,7.9,
北極星があるのは？,こぐま座,おおぐま座,4,1,コグマザ,オオグマザ,5.7,
面積が小さいのは？,香川県,佐賀県,3,1,カガワケン,サガケン,5.7,
シーソーで座るのはてこの原理のどこ？,作用点,支点,3,1,サヨウテン,シテン,6.2,
タンスの数え方は？,一竿,一丁,3,1,イッサオ,イッチョウ,5.2,
人数が多いのは？,参議院,衆議院,3,1,サンギイン,シュウギイン,6.2,
高知県の県庁所在地は？,高知市,高松市,3,1,コウチシ,タカマツシ,5.6,
島根県の県庁所在地は？,松江市,松山市,3,1,マツエシ,マツヤマシ,5.6,
愛媛県の県庁所在地は？,松山市,松江市,3,1,マツヤマシ,マツエシ,5.9,
肺を守るのはどっち？,肋骨,尾てい骨,3,1,ロッコツ,ビテイコツ,5.5,
「氷上のチェス」とも呼ばれるは何？,カーリング,アイスホッケー,3,1,カーリング,アイスホッケー,8,
4年で解散するのは？,衆議院,参議院,3,1,シュウギイン,サンギイン,6.7,
ユニオンジャックはどの国の旗？,イギリス,アメリカ,3,1,イギリス,アメリカ,5.9,
日本の政令指定都市のうち、最も人口が多いのはどこか？,横浜市,大阪市,2,1,ヨコハマシ,オオサカシ,7.7,
世界一大きい動物は？,シロナガスクジラ,ジンベエザメ,4,1,シロナガスクジラ,ジンベエザメ,9,
世界一速く飛ぶ鳥は？,ハヤブサ,ハクトウワシ,4,1,ハヤブサ,ハクトウワシ,6.2,
世界一小さい鳥は？,マメハチドリ,スズメ,4,1,マメハチドリ,スズメ,6.3,
アルバイトは？,和製英語,純正英語,5,1,ワセイエイゴ,ジュンセイエイゴ,7.5,
球速が早いのは？,バドミントン,テニス,5,1,バドミントン,テニス,6.2,
音楽の三要素といえばリズム、メロディ、あと一つは？,ハーモニー,グルーブ,5,1,ハーモニー,グルーブ,7.6,
昔の郵便ポストの色は？,黒色,青色,4,1,コクショク,アオイロ,8.5,
台風は？,サイクロン,トルネード,4,1,サイクロン,トルネード,8.9,
アプリケーションを削除しインストールする前の状態にすることは？,アンインストール,ダウンロード,3,1,アンインストール,ダウンロード,15.5,
近距離間の無線通信規格の一つで、2.4GHz帯を利用しているのは？,ブルートゥース,ワイファイ,3,1,ブルートゥース,ワイファイ,14,
コンピュータに割り振られた識別番号のことを何というか？,アイピーアドレス,メールアドレス,3,1,アイピーアドレス,メールアドレス,15.7,
元素記号「Pb」は？,鉛,プルトニウム,4,1,ナマリ,プルトニウム,7.7,
旧国名の「阿波国」は現在の何県？,徳島県,高知県,4,1,トクシマケン,コウチケン,10.7,
野菜を半月切りをさらに半分に切ることを？,いちょう切り,短冊切り,5,1,イチョウギリ,タンザクギリ,12,
日本の標準時の基本となっているのは？,明石市,大阪市,5,1,アカシシ,オオサカシ,8.9,
世界最小の独立国は？,バチカン,サンマリノ,1,1,バチカン,サンマリノ,8.4,
富士山は？,文化遺産,自然遺産,4,1,ブンカイサン,シゼンイサン,5.8,
ブラジルの首都は？,ブラジリア,リオデジャネイロ,4,1,ブラジリア,リオデジャネイロ,11.2,
5月4日は何の日？,みどりの日,こどもの日,4,1,ミドリノヒ,コドモノヒ,8.608203932,
「鳴かぬなら鳴くまで待とうホトトギス」でたとえられる武将は？,徳川家康,豊臣秀吉,3,1,トクガワイエヤス,トヨトミヒデヨシ,12.28528137,
自由の女神があるのは？,ニューヨーク,ワシントン,3,2,ニューヨーク,ワシントン,6.45,24.3
