Quiz,Correct,Wrong,Made,,,,
日本で生産された車、多く売れるのは？,日本国内,海外,5,3,ニホンコクナイ,カイガイ,6.9
ドラミちゃんの好きな食べ物は？,メロンパン,どら焼き,5,3,メロンパン,ドラヤキ,5.9
ダイナマイトを発明した人は？,ノーベル,アインシュタイン,5,3,ノーベル,アインシュタイン,6.6
放送開始が早いのは？,セサミストリート,スポンジボブ,4,3,セサミストリート,スポンジボブ,9
2月11日は何の日？,建国記念日,憲法記念日,5,3,ケンコクキネンビ,ケンポウキネンビ,9.2
日本の法典「六法」のうち、最も条文数が多いのは何？,民法,刑法,2,3,ミンポウ,ケイホウ,8.9
急がば回れの語源となっているのは？,琵琶湖,富士山,5,3,ビワコ,フジサン,7.3
画数が多いのは？,卍,凸,5,3,マンジ,トツ,5
焼き加減の「レア」「ウェルダン」のもとになっている料理は？,ゆで卵,トースト,5,3,ユデタマゴ,トースト,10.6
牛の仲間に分類されるのは？,羊,豚,5,3,ヒツジ,ブタ,5.5
米寿と白寿、年上は？,白寿,米寿,5,3,ハクジュ,ベイジュ,7.4
ドラえもんがのび太の家にやってきて初めて食べたものは？,餅,どら焼き,5,3,モチ,ドラヤキ,7.2
アメリカ国旗の星の数は？,５０個,６５個,5,3,５０コ,６５コ,6.3
ことわざ「開いた口の〇〇餅」〇〇に入るのは？,牡丹,小豆,5,3,ボタン,アズキ,7.1
「樹懶」何と読む？,なまけもの,こうもり,5,3,ナマケモノ,コウモリ,8.8
背が高いポケモンは？,ドダイトス,エンペルト,5,3,ドダイトス,エンペルト,9.5
「スイミー」が立ち向かう大きな魚は何？,マグロ,サメ,5,3,マグロ,サメ,6.4
布と布の間に綿などを入れて縫い合わせた生地のことを？,キルティング,パッチング,5,3,キルティング,パッチング,7.95
弦楽器を弓を使わずに指で弦をはじく演奏方法は？,ピッツィカート,アルペジオ,5,3,ピッツィカート,アルペジオ,8.25
名前が人物に由来しているのは？,インゲン豆,エンドウ豆,5,3,インゲンマメ,エンドウマメ,7
ジンベイザメは英語で何シャーク？,ホエール,エレファント,5,3,ホエール,エレファント,6.1
心臓がないのは？,ナマコ,ホタテ,5,3,ナマコ,ホタテ,3.65
くじ引きで決められた元号は？,明治,昭和,5,3,メイジ,ショウワ,4.3
日本が世界で初めて導入したのは？,点字ブロック,スクランブル交差点,5,3,テンジブロック,スクランブルコウサテン,9.35
「満を持す」の由来になったのは？,弓,釣り,5,3,ユミ,ツリ,3.4
果物が原料になっているのは？,マーマレード,マーガリン,3,2,マーマレード,マーガリン,9.641428429
1185年に守護・地頭を設置したのは？,源頼朝,北条時宗,3,2,ミナモトノヨリトモ,ホウジョウトキムネ,11.6
日本が初めて国際電話を開通した相手国は？,フィリピン,中国,3,2,フィリピン,チュウゴク,9.408203932
津軽半島があるのは？,青森県,北海道,3,2,アオモリケン,ホッカイドウ,8.948469228
典型的な日本の冬の気圧配置を表す言葉は？,西高東低,南低北高,3,2,セイコウトウテイ,ナンテイホクコウ,11.28528137
弾劾裁判所で裁かれるのは？,裁判官,検察官,3,2,サイバンカン,ケンサツカン,9.248469228
日本で最初の女性の天皇は？,推古天皇,持統天皇,3,2,スイコテンノウ,ジトウテンノウ,10.03725393
バルト三国に含まれるのは？,リトアニア,ウクライナ,3,2,リトアニア,ウクライナ,9.008203932
世界最大の魚類は？,ジンベエザメ,シロナガスクジラ,3,2,ジンベエザメ,シロナガスクジラ,10.04596669
徳川家光の時代に行われたものは？,鎖国令,生類憐みの令,3,2,サコクレイ,ショウルイアワレミノレイ,10.6240384
木戸孝允の昔の名前は？,桂小五郎,桂太郎,3,2,カツラコゴロウ,カツラタロウ,9.545966692
近畿地方に属するのは？,兵庫県,岡山県,3,2,ヒョウゴケン,オカヤマケン,9.048469228
平安時代の文学作品は？,枕草子,金色夜叉,3,2,マクラノソウシ,コンジキヤシャ,9.737253933
「少年よ大志を抱け」で有名な人物は？,クラーク,シーボルト,3,2,クラーク,シーボルト,8.944997998
ルターが作ったのは？,プロテスタント,カトリック,3,2,プロテスタント,カトリック,11.7
『法の精神』を著したのは？,モンテスキュー,アダム・スミス,3,2,モンテスキュー,アダム・スミス,13.2
気体と固体粒子が山から吹き出てくる、火山噴火後に起こる現象といえば？,火砕流,マグマ,3,2,カサイリュウ,マグマ,11.5
マグマが地表や浅い所で急激に冷やされてできた火成岩を何というか？,火成岩,深成岩,3,2,カセイガン,シンセイガン,11.8
地表から約11kmくらいまでの大気圏を何というか？,対流圏,成層圏,3,2,タイリュウケン,セイソウケン,13.1
音楽用語で「だんだん遅く」という意味の言葉はどれ？,リタルダンド,フェルマータ,3,2,リタルダンド,フェルマータ,12.7
コモロ諸島近海に生息する「生きた化石」は,シーラカンス,アンモナイト,3,2,シーラカンス,アンモナイト,12.2
「人民の人民による人民のための政治」と説いた人物は？,リンカーン,ビスマルク,3,2,リンカーン,ビスマルク,11.1
物価が急上昇し、貨幣価値が下落する現象はどれ？,インフレーション,デフレーション,3,2,インフレーション,デフレーション,15.3
体内に侵入してきた細菌を殺す、血液中の成分は？,白血球,血小板,3,2,ハッケッキュウ,ケッショウバン,13.4
「デビュー」という言葉は何語？,フランス語,イタリア語,3,2,フランスゴ,イタリアゴ,10
日本最南端の島「沖ノ鳥島」がある都道府県はどこ？,東京都,沖縄県,3,2,トウキョウト,オキナワケン,12
?ルネッサンス三大発明なのは？,火薬,蒸気機関,3,2,カヤク,ジョウキキカン,8.6
フランス語でケーキやお菓子を作る職人のことを何と呼ぶ？,パティシエ,ショコラティエ,2,2,パティシエ,ショコラティエ,12.4
沖縄の方言で「ごちゃまぜ」という意味の言葉は？,チャンプル,ナンクルナイサー,2,2,チャンプル,ナンクルナイサー,12.6
およそ７６年周期で地球に接近する彗星の名前は？,ハレー彗星,ホームズ彗星,2,2,ハレースイセイ,ホームズスイセイ,14.4
腕の力を競い合う腕相撲を英語で言うと何と呼ぶ？,アームレスリング,アームストロング,2,2,アームレスリング,アームストロング,15.9
アフリカ大陸を流れる世界一長い川は？,ナイル川,ミシシッピ川,2,2,ナイルガワ,ミシシッピガワ,11.3
三平方の定理を発見した数学者の名前は？,ピタゴラス,パスカル,2,2,ピタゴラス,パスカル,9.8
塩酸にチョークを溶かすと発生する気体は？,二酸化炭素,水素,4,2,ニサンカタンソ,スイソ,11.2
音楽記号で半音上がったり下がったりした音をもとに戻す記号は？,ナチュラル,フラット,5,2,ナチュラル,フラット,10.9
福井県にある「轟駅」は何て読む？,どめき駅,とどろき駅,4,2,ドメキエキ,トドロキエキ,10.5
エベレストをチベット語でいうと？,チョモランマ,サガルマータ,4,2,チョモランマ,サガルマータ,11.8
世界遺産なのは？,自由の女神,凱旋門,4,2,ジユウノメガミ,ガイセンモン,11.6
「雨ニモ負ケズ」「やまなし」「風の又三郎」の作者は？,宮沢賢治,夏目漱石,5,2,ミヤザワケンジ,ナツメソウセキ,13.9
ナポレオン戦争後に開催された国際会議は？,ウィーン会議,ジュネーブ会議,3,2,ウィーンカイギ,ジュネーブカイギ,14.3
アメリカ合衆国で７月４日は何の記念日？,独立記念日,国民記念日,3,2,ドクリツキネンビ,コクミンキネンビ,14.9
吉田兼好が著した文学作品は？,徒然草,方丈記,3,2,ツレヅレグサ,ホウジョウキ,11
かつてセイロンと呼ばれていた国は、現在のどこ？,スリランカ,ミャンマー,3,2,スリランカ,ミャンマー,10.8
次のうち、「北十字」の別名をもつ星座はどれ？,はくちょう座,こいぬ座,3,2,ハクチョウザ,コイヌザ,11.2
ソビエト連邦の初代大統領は誰？,ゴルバチョフ,レーニン,3,2,ゴルバチョフ,レーニン,10.5
現在の暦で２月にくるものは？,立春,立冬,3,2,リッシュン,リットウ,8.8
落雷の被害を避ける避雷針を発明したのは誰？,フランクリン,パスカル,3,2,フランクリン,パスカル,11.1
世界遺産にも登録されている厳島神社がある県はどこ？,広島県,奈良県,3,2,ヒロシマケン,ナラケン,11.1
アフリカの最高峰キリマンジャロの山頂がある国は？,タンザニア,ナイジェリア,3,2,タンザニア,ナイジェリア,11.5
ボーキサイトを原料とする金属はどれ？,アルミニウム,スズ,3,2,アルミニウム,スズ,9.6
空海が高野山に建てた寺は？,金剛峰寺,中尊寺,3,2,コンゴウブジ,チュウソンジ,11
ピアノ三重奏に使われる楽器はピアノとチェロと、もう１つはどれ？,バイオリン,ビオラ,3,2,バイオリン,ビオラ,10.4
七福神の中で、生き物を抱えている神様はどれ？,恵比寿,大黒天,3,2,エビス,ダイコクテン,8.8
スエズ運河がある国はどこ？,エジプト,エチオピア,3,2,エジプト,エチオピア,8.7
ドイツから来日した医師のシーボルトが開いた塾は？,鳴滝塾,松下村塾,3,2,ナルタキジュク,ショウカソンジュク,14.6
『水の都』と呼ばれる都市は？,ヴェネツィア,フィレンツェ,1,2,ヴェネツィア,フィレンツェ,11.6
『新幹線』という名前の地区があるのは？,静岡県,兵庫県,1,2,シズオカケン,ヒョウゴケン,11.5
おにぎりは何時代から食べられている？,弥生時代,平安時代,5,2,ヤヨイジダイ,ヘイアンジダイ,12.1
「麝香の香りを持ち、針をもつもの」という意味の果物は？,ドリアン,ドラゴンフルーツ,5,2,ドリアン,ドラゴンフルーツ,11.9
